event,value,timestamp
IBI,811,2022-10-18T17:57:58.546401
HR,72,2022-10-18T17:57:58.547401
IBI,828,2022-10-18T17:57:59.752997
HR,72,2022-10-18T17:57:59.752997
IBI,864,2022-10-18T17:57:59.762835
HR,72,2022-10-18T17:57:59.762835
IBI,891,2022-10-18T17:58:00.556150
HR,72,2022-10-18T17:58:00.571896
IBI,848,2022-10-18T17:58:01.775412
HR,72,2022-10-18T17:58:01.787281
IBI,861,2022-10-18T17:58:02.593450
HR,71,2022-10-18T17:58:02.597415
IBI,878,2022-10-18T17:58:03.803828
HR,71,2022-10-18T17:58:03.803828
IBI,880,2022-10-18T17:58:04.606462
HR,71,2022-10-18T17:58:04.606462
IBI,838,2022-10-18T17:58:05.824503
HR,71,2022-10-18T17:58:05.824503
IBI,842,2022-10-18T17:58:05.837151
HR,71,2022-10-18T17:58:05.837151
IBI,855,2022-10-18T17:58:06.643139
HR,71,2022-10-18T17:58:06.646916
IBI,869,2022-10-18T17:58:07.446648
HR,71,2022-10-18T17:58:07.446648
IBI,873,2022-10-18T17:58:08.666539
HR,71,2022-10-18T17:58:08.673296
IBI,891,2022-10-18T17:58:09.468847
HR,71,2022-10-18T17:58:09.468847
IBI,872,2022-10-18T17:58:10.689242
HR,70,2022-10-18T17:58:10.697279
IBI,916,2022-10-18T17:58:12.311044
HR,70,2022-10-18T17:58:12.316829
IBI,954,2022-10-18T17:58:12.712324
HR,70,2022-10-18T17:58:12.712324
IBI,887,2022-10-18T17:58:13.531151
HR,69,2022-10-18T17:58:13.531151
IBI,877,2022-10-18T17:58:13.532912
HR,69,2022-10-18T17:58:13.532912
IBI,825,2022-10-18T17:58:14.737814
HR,69,2022-10-18T17:58:14.746456
IBI,777,2022-10-18T17:58:15.547767
HR,69,2022-10-18T17:58:15.547767
IBI,755,2022-10-18T17:58:16.767849
HR,70,2022-10-18T17:58:16.767849
IBI,736,2022-10-18T17:58:16.772480
HR,70,2022-10-18T17:58:16.772480
IBI,788,2022-10-18T17:58:17.578178
HR,71,2022-10-18T17:58:17.578178
IBI,856,2022-10-18T17:58:18.796287
