event,value,timestamp
IBI,847,2022-10-18T18:41:33.607636
HR,70,2022-10-18T18:41:33.615314
IBI,866,2022-10-18T18:41:34.424942
HR,70,2022-10-18T18:41:34.425982
IBI,866,2022-10-18T18:41:35.628474
HR,70,2022-10-18T18:41:35.628474
IBI,852,2022-10-18T18:41:36.445513
HR,70,2022-10-18T18:41:36.451123
IBI,870,2022-10-18T18:41:37.664050
HR,70,2022-10-18T18:41:37.665073
IBI,869,2022-10-18T18:41:37.665743
HR,70,2022-10-18T18:41:37.666395
IBI,824,2022-10-18T18:41:38.475013
HR,70,2022-10-18T18:41:38.475750
IBI,815,2022-10-18T18:41:39.684837
HR,70,2022-10-18T18:41:39.690101
IBI,845,2022-10-18T18:41:41.305437
HR,70,2022-10-18T18:41:41.311145
IBI,855,2022-10-18T18:41:41.714584
HR,71,2022-10-18T18:41:41.715264
IBI,847,2022-10-18T18:41:42.524364
HR,71,2022-10-18T18:41:42.525192
IBI,894,2022-10-18T18:41:43.728040
HR,71,2022-10-18T18:41:43.740084
IBI,915,2022-10-18T18:41:44.546740
HR,70,2022-10-18T18:41:44.546740
IBI,888,2022-10-18T18:41:44.551273
HR,70,2022-10-18T18:41:44.551273
IBI,904,2022-10-18T18:41:45.750745
HR,70,2022-10-18T18:41:45.764969
IBI,884,2022-10-18T18:41:46.568613
HR,69,2022-10-18T18:41:46.575876
IBI,852,2022-10-18T18:41:47.788663
HR,69,2022-10-18T18:41:47.790693
IBI,842,2022-10-18T18:41:48.591950
HR,69,2022-10-18T18:41:48.600735
IBI,820,2022-10-18T18:41:49.395105
HR,70,2022-10-18T18:41:49.395105
IBI,809,2022-10-18T18:41:49.410713
HR,70,2022-10-18T18:41:49.410713
IBI,793,2022-10-18T18:41:50.615091
HR,70,2022-10-18T18:41:50.615091
IBI,814,2022-10-18T18:41:51.433412
HR,71,2022-10-18T18:41:51.435572
IBI,837,2022-10-18T18:41:52.637950
HR,71,2022-10-18T18:41:52.650533
IBI,834,2022-10-18T18:41:53.455729
HR,71,2022-10-18T18:41:53.460182
IBI,835,2022-10-18T18:41:54.666286
HR,71,2022-10-18T18:41:54.675277
IBI,888,2022-10-18T18:41:55.484055
HR,71,2022-10-18T18:41:55.484503
IBI,888,2022-10-18T18:41:55.484503
HR,71,2022-10-18T18:41:55.484503
IBI,862,2022-10-18T18:41:56.696627
HR,71,2022-10-18T18:41:56.699297
IBI,848,2022-10-18T18:41:57.503455
HR,71,2022-10-18T18:41:57.509985
IBI,875,2022-10-18T18:41:58.723000
HR,71,2022-10-18T18:41:58.725295
IBI,892,2022-10-18T18:41:59.533115
HR,70,2022-10-18T18:41:59.533115
IBI,873,2022-10-18T18:42:00.742438
HR,70,2022-10-18T18:42:00.750078
IBI,875,2022-10-18T18:42:01.552760
HR,70,2022-10-18T18:42:01.560759
IBI,886,2022-10-18T18:42:01.560759
HR,70,2022-10-18T18:42:01.560759
IBI,872,2022-10-18T18:42:02.771988
HR,70,2022-10-18T18:42:02.774845
IBI,862,2022-10-18T18:42:03.580678
HR,70,2022-10-18T18:42:03.585372
IBI,883,2022-10-18T18:42:05.203972
HR,70,2022-10-18T18:42:05.204973
IBI,902,2022-10-18T18:42:05.603510
HR,69,2022-10-18T18:42:05.603510
IBI,875,2022-10-18T18:42:06.406283
HR,69,2022-10-18T18:42:06.419756
IBI,866,2022-10-18T18:42:07.626422
HR,69,2022-10-18T18:42:07.636370
IBI,882,2022-10-18T18:42:08.429732
HR,69,2022-10-18T18:42:08.445119
IBI,872,2022-10-18T18:42:08.445119
HR,69,2022-10-18T18:42:08.446116
IBI,836,2022-10-18T18:42:09.649614
HR,69,2022-10-18T18:42:09.649614
IBI,849,2022-10-18T18:42:10.467994
HR,69,2022-10-18T18:42:10.469974
IBI,853,2022-10-18T18:42:11.672271
HR,69,2022-10-18T18:42:11.684983
IBI,864,2022-10-18T18:42:12.491001
HR,69,2022-10-18T18:42:12.495227
IBI,840,2022-10-18T18:42:13.695507
HR,69,2022-10-18T18:42:13.710488
IBI,869,2022-10-18T18:42:14.514132
HR,70,2022-10-18T18:42:14.520584
IBI,853,2022-10-18T18:42:14.520584
HR,70,2022-10-18T18:42:14.520584
IBI,820,2022-10-18T18:42:15.723969
HR,70,2022-10-18T18:42:15.723969
IBI,784,2022-10-18T18:42:16.542642
HR,70,2022-10-18T18:42:16.542642
IBI,785,2022-10-18T18:42:17.746365
HR,70,2022-10-18T18:42:17.746365
IBI,791,2022-10-18T18:42:18.564440
HR,72,2022-10-18T18:42:18.564440
IBI,797,2022-10-18T18:42:18.570270
HR,72,2022-10-18T18:42:18.570270
IBI,830,2022-10-18T18:42:20.188127
HR,72,2022-10-18T18:42:20.188127
IBI,841,2022-10-18T18:42:20.588761
HR,72,2022-10-18T18:42:20.594776
IBI,836,2022-10-18T18:42:21.398641
HR,72,2022-10-18T18:42:21.405358
IBI,845,2022-10-18T18:42:22.618657
HR,72,2022-10-18T18:42:22.620157
IBI,897,2022-10-18T18:42:23.428638
HR,72,2022-10-18T18:42:23.428638
IBI,891,2022-10-18T18:42:24.637884
HR,72,2022-10-18T18:42:24.645617
IBI,876,2022-10-18T18:42:25.448868
HR,71,2022-10-18T18:42:25.448868
IBI,902,2022-10-18T18:42:25.455291
HR,71,2022-10-18T18:42:25.455291
IBI,916,2022-10-18T18:42:26.670055
HR,71,2022-10-18T18:42:26.670055
IBI,883,2022-10-18T18:42:27.469381
HR,70,2022-10-18T18:42:27.479692
IBI,889,2022-10-18T18:42:28.689252
